menge;p_artikel-p_artikelnr;Lagerort;reservierteMenge;Lagerstandort;mengeFuerAuftraege
224;53105818;420;0;10004;0
96;27003918;420;0;10004;0
28;42891429;420;0;10004;0
2;93151708;420;0;10004;0
396;10163038;420;0;10004;0
21;65478021;420;0;10004;0
49;63313924;420;0;10004;0
50;24681526;420;0;10004;0
51;52078517;420;0;10004;0
25;96182737;420;0;10004;0
3;43473430;420;0;10004;0
20;85893318;420;0;10004;0
10;57076918;420;0;10004;0
21;32802151;420;0;10004;0
64;70866761;420;0;10004;0
1;33210302;420;0;10004;0
4;33210302;430;0;10004;0
40;92734956;420;0;10004;0
40;57199467;420;0;10004;0
64;43928002;420;0;10004;0
90;75457011;420;0;10004;0
6;P01-44004069;420;0;10004;0
6;P02-44004069;420;0;10004;0
11;P03-44004069;420;0;10004;0
151;P01-54432629;420;0;10004;0
140;P02-54432629;420;0;10004;0
32;P04-95522107;420;0;10004;0
30;P02-95522107;420;0;10004;0
27;P03-95522107;420;0;10004;0
29;P01-95522107;420;0;10004;0
30;P01-68278653;420;0;10004;0
39;P02-68278653;420;0;10004;0
25;P03-68278653;420;0;10004;0
25;P04-68278653;420;0;10004;0
230;P01-29408843;420;0;10004;0
219;P02-29408843;420;0;10004;0
90;P01-46637134;420;0;10004;0
15;P01-46637134;440;0;10004;0
100;P02-46637134;420;0;10004;0
100;P03-46637134;420;0;10004;0
27;P01-89187867;420;0;10004;0
25;P04-89187867;420;0;10004;0
30;P02-89187867;420;0;10004;0
24;P03-89187867;420;0;10004;0
115;P01-58323026;420;0;10004;0
108;P02-58323026;420;0;10004;0
1;P02-16271456;420;0;10004;0
54;P01-65750264;420;0;10004;0
115;P01-98028048;420;0;10004;0
2;P02-56934239;420;0;10004;0
25;P02-35974639;420;0;10004;0
25;P02-50459333;420;0;10004;0
40;2002907;420;0;10004;0
